Country,JobSatisfaction,CareerSatisfaction
India,1,1
Australia,NA,1
India,6,1
United States,2,2
United States,1,2
United States,NA,NA
United States,NA,NA
India,1,2
United States,2,2
Germany,2,2
Canada,3,2
United Kingdom,0,2
United States,0,2
United States,NA,2
Germany,NA,2
United Kingdom,NA,2
United States,2,2
United States,6,2
India,2,2
Canada,NA,NA
India,NA,2
India,3,2
United States,1,2
India,3,2
United Kingdom,0,2
Australia,1,2
India,0,2
Bangladesh,NA,NA
United Kingdom,5,2
United Kingdom,7,2
France,1,2
Germany,7,2
Germany,0,2
Germany,1,2
United States,2,2
Canada,3,2
Brazil,4,2
India,2,2
France,3,2
India,1,2
India,3,2
Netherlands,NA,NA
United Kingdom,2,2
India,2,2
China,3,2
Netherlands,7,2
Germany,7,2
United Kingdom,NA,2
France,3,2
Italy,NA,2
Bangladesh,2,2
India,2,2
India,0,2
India,5,2
India,2,2
Brazil,NA,NA
Italy,6,2
Germany,0,2
Italy,1,2
India,4,2
Bangladesh,2,2
Germany,NA,2
Italy,2,2
India,2,2
France,2,2
United States,2,2
Germany,0,2
United Kingdom,NA,2
United States,8,2
Brazil,NA,2
United Kingdom,NA,2
United States,3,2
United States,5,2
Germany,2,2
India,3,2
United Kingdom,9,2
United States,5,2
Canada,NA,2
Italy,1,2
United States,1,2
United States,NA,2
United States,NA,2
India,2,2
France,0,2
United States,2,2
India,3,2
India,5,2
Brazil,1,2
United States,NA,2
Australia,NA,2
India,2,2
India,3,2
United States,NA,2
Germany,NA,2
Germany,4,2
Canada,NA,NA
United States,2,2
Germany,NA,NA
India,4,2
United States,2,2
Germany,3,2
Bangladesh,3,2
United States,2,2
Germany,6,2
United States,0,2
Germany,4,2
United States,0,2
United States,2,2
Australia,3,2
Germany,3,2
Canada,3,2
India,3,2
India,6,2
France,3,2
Canada,NA,NA
India,2,2
Germany,1,2
Germany,2,2
United States,6,2
United Kingdom,NA,2
Germany,NA,2
United States,0,2
Germany,2,2
United States,3,2
United States,1,2
India,1,2
United Kingdom,0,2
Germany,3,2
United Kingdom,3,2
United States,0,2
France,5,2
United States,2,2
United States,4,2
Germany,NA,2
Australia,NA,2
United States,NA,2
India,3,2
India,1,2
India,2,2
India,6,2
Germany,3,2
India,2,2
Belgium,NA,2
United States,NA,NA
India,2,2
India,2,2
France,2,2
France,NA,2
United States,2,2
United States,8,2
United Kingdom,NA,NA
United Kingdom,0,2
United Kingdom,1,2
United States,NA,NA
Brazil,3,2
Germany,2,2
United States,NA,2
India,2,2
Bangladesh,NA,NA
Germany,3,2
India,2,2
Italy,3,2
France,4,2
Canada,NA,2
India,6,2
United States,1,2
United States,4,2
India,1,2
China,NA,2
Germany,2,2
United Kingdom,6,2
Germany,3,2
United Kingdom,3,2
United States,NA,NA
United States,2,2
Germany,2,2
Germany,7,2
United Kingdom,5,2
India,2,2
Germany,NA,NA
India,NA,2
Germany,2,2
United States,1,2
United States,NA,2
Italy,NA,NA
United Kingdom,3,2
Canada,NA,2
United States,2,2
United States,3,2
France,4,2
United States,5,2
India,2,2
India,10,2
United States,NA,NA
Italy,4,2
Italy,7,2
Brazil,NA,2
United Kingdom,3,2
United Kingdom,0,2
France,NA,NA
India,2,2
India,2,2
India,3,2
India,3,2
India,1,2
Italy,2,2
United States,NA,2
United Kingdom,NA,2
United States,1,2
Australia,NA,NA
Canada,NA,NA
Canada,NA,NA
India,7,2
India,7,2
India,2,2
India,2,2
Netherlands,6,2
Italy,0,2
Germany,5,2
Germany,3,2
Germany,2,2
Italy,2,2
India,NA,2
Netherlands,NA,NA
United Kingdom,0,2
Germany,NA,2
Canada,2,2
United States,NA,NA
India,3,2
India,6,2
United Kingdom,3,2
India,10,2
India,NA,2
United States,2,2
India,3,2
India,0,2
United States,0,2
United States,NA,2
India,2,2
United States,NA,NA
India,2,2
Germany,NA,NA
Germany,3,2
France,2,2
United States,2,2
United States,3,2
India,3,2
United States,NA,NA
Italy,3,2
United States,8,2
United States,1,2
India,2,2
India,3,2
India,2,2
Germany,4,2
Germany,3,2
India,2,2
United States,3,2
Germany,NA,NA
Bulgaria,0,2
India,2,2
United States,4,2
France,4,2
Australia,2,2
United States,2,2
India,3,2
Germany,5,2
Germany,NA,2
United States,NA,2
Germany,2,2
Germany,NA,NA
France,NA,NA
United States,0,2
United States,5,2
United States,3,2
United States,5,2
Italy,4,2
Belgium,NA,2
United Kingdom,0,2
United States,1,2
India,0,2
United States,2,2
United States,3,2
United States,5,2
Cameroon,1,2
United States,3,2
Germany,0,2
United States,5,2
United States,3,2
India,2,2
United States,2,2
United States,4,2
Germany,1,2
France,2,2
Germany,2,2
Germany,2,2
Brazil,5,2
India,2,2
United States,6,2
Australia,0,2
Germany,1,2
Italy,10,2
Germany,3,2
India,2,2
United States,0,2
United Kingdom,NA,2
Italy,0,2
United States,NA,2
Germany,4,2
United States,1,2
India,2,2
Australia,NA,2
India,0,2
United States,NA,2
United States,4,2
United States,2,2
United States,NA,NA
United States,8,2
United States,2,2
Canada,0,2
Australia,4,2
India,2,2
United States,0,2
United States,NA,2
France,2,2
Germany,8,2
France,9,2
Germany,NA,2
India,2,2
Canada,1,2
United States,NA,2
India,1,2
India,2,2
United States,2,2
United Kingdom,1,2
Germany,2,2
United States,5,2
France,3,2
United States,3,2
Germany,2,2
United States,NA,NA
United Kingdom,NA,3
United States,0,3
United States,7,3
United States,3,3
United States,NA,3
United States,2,3
United States,NA,NA
France,2,3
India,4,3
Brazil,1,3
Canada,6,3
United Kingdom,2,3
United States,NA,3
United States,3,3
United Kingdom,NA,NA
India,3,3
Canada,1,3
Canada,1,3
United States,5,3
Brazil,0,3
United States,2,3
United States,2,3
France,1,3
United States,3,3
United States,3,3
United States,3,3
Bulgaria,5,3
United States,4,3
Canada,6,3
United States,NA,3
Canada,1,3
United States,5,3
United States,0,3
Australia,2,3
United States,NA,NA
United States,3,3
United States,NA,NA
United States,NA,NA
Germany,NA,3
United Kingdom,4,3
United States,NA,3
United States,0,3
Germany,NA,NA
Australia,3,3
India,3,3
United States,NA,NA
United States,3,3
United States,10,3
India,3,3
India,3,3
Italy,2,3
Germany,2,3
United States,NA,3
India,1,3
India,NA,3
India,2,3
Germany,NA,NA
India,3,3
Canada,NA,NA
India,2,3
Netherlands,4,3
India,3,3
France,NA,NA
United Kingdom,6,3
Australia,NA,3
Germany,NA,NA
United Kingdom,2,3
United Kingdom,9,3
Netherlands,NA,3
Germany,4,3
India,1,3
United States,4,3
United Kingdom,3,3
United Kingdom,NA,3
France,1,3
United States,5,3
United States,5,3
United Kingdom,NA,3
Germany,9,3
United Kingdom,5,3
Netherlands,NA,NA
United States,NA,3
Belgium,5,3
United States,1,3
United Kingdom,3,3
India,NA,NA
United Kingdom,3,3
Canada,NA,3
France,3,3
United States,3,3
United States,0,3
Germany,7,3
United States,5,3
United States,8,3
France,NA,3
United States,6,3
United States,3,3
Australia,3,3
United States,2,3
India,4,3
United States,NA,3
India,1,3
United Kingdom,NA,3
Netherlands,3,3
United States,NA,NA
Netherlands,NA,3
India,4,3
India,3,3
United States,1,3
Netherlands,NA,3
United States,3,3
United States,3,3
Australia,NA,3
India,3,3
Germany,2,3
India,3,3
United States,7,3
India,3,3
United States,NA,NA
India,4,3
Netherlands,NA,NA
India,4,3
United States,NA,NA
India,4,3
Germany,3,3
Canada,NA,NA
India,6,3
India,3,3
United Kingdom,5,3
United States,5,3
Netherlands,4,3
Germany,1,3
Germany,3,3
India,NA,3
United Kingdom,NA,3
Canada,3,3
Brazil,3,3
United States,3,3
Australia,3,3
China,3,3
Germany,2,3
United Kingdom,7,3
Bangladesh,2,3
United Kingdom,3,3
India,3,3
China,3,3
United States,NA,NA
Germany,5,3
Canada,10,3
United States,3,3
Brazil,4,3
United States,3,3
United States,NA,NA
United Kingdom,2,3
Italy,4,3
Germany,NA,3
Germany,NA,3
India,3,3
United States,5,3
United Kingdom,5,3
United States,8,3
United States,10,3
India,1,3
United States,NA,NA
Italy,6,3
Netherlands,3,3
India,5,3
India,3,3
Germany,5,3
India,4,3
United States,3,3
United States,3,3
United States,NA,3
India,NA,NA
Canada,4,3
India,3,3
United States,4,3
United States,3,3
United States,2,3
United States,NA,3
Bangladesh,5,3
Germany,0,3
Germany,7,3
India,4,3
India,3,3
Italy,NA,NA
United Kingdom,3,3
Canada,3,3
United States,1,3
United States,NA,NA
United States,2,3
India,5,3
United States,2,3
United States,1,3
Bulgaria,3,3
United States,3,3
Germany,5,3
United Kingdom,2,3
United States,1,3
Canada,6,3
United States,7,3
United States,NA,3
India,3,3
India,3,3
India,2,3
France,NA,3
Italy,4,3
India,5,3
India,2,3
United Kingdom,NA,3
United States,NA,3
United States,4,3
Italy,NA,NA
United Kingdom,6,3
Germany,NA,NA
Brazil,NA,NA
Netherlands,3,3
Netherlands,3,3
Germany,5,3
United States,5,3
United Kingdom,5,3
United States,3,3
United States,1,3
Canada,NA,3
United States,7,3
India,6,3
India,3,3
India,NA,3
Germany,7,3
Germany,3,3
United States,NA,NA
India,3,3
Germany,NA,NA
Italy,3,3
France,3,3
Italy,1,3
United States,NA,NA
France,2,3
Brazil,3,3
United Kingdom,5,3
Germany,5,3
India,2,3
Canada,NA,NA
India,3,3
Germany,5,3
India,3,3
United Kingdom,6,3
Netherlands,4,3
United States,5,3
United States,NA,NA
United States,NA,3
Germany,NA,3
United States,2,3
India,3,3
India,3,3
Belgium,NA,NA
India,3,3
India,3,3
Germany,3,3
Germany,NA,NA
India,3,3
India,3,3
Netherlands,6,3
United States,3,3
France,1,3
France,2,3
Bulgaria,6,3
United States,NA,3
Canada,3,3
Germany,3,3
India,3,3
United Kingdom,2,3
Brazil,0,3
United States,NA,NA
Canada,3,3
Germany,8,3
Canada,3,3
Canada,3,3
Netherlands,NA,NA
United States,0,3
United States,2,3
United Kingdom,2,3
Bulgaria,5,3
France,NA,NA
Germany,3,3
Belgium,7,3
India,8,3
Germany,6,3
France,2,3
United Kingdom,5,3
Germany,5,3
India,NA,3
Germany,3,3
United Kingdom,2,3
Germany,7,3
United Kingdom,0,3
Brazil,3,3
Germany,NA,NA
Bangladesh,4,3
India,3,3
United States,3,3
United States,NA,NA
United States,NA,NA
United States,5,3
India,5,3
Germany,NA,3
United Kingdom,6,3
United States,NA,3
Australia,4,3
India,3,3
India,3,3
United Kingdom,NA,NA
India,NA,3
India,9,3
China,5,3
Bangladesh,0,3
Germany,6,3
Bangladesh,2,3
United States,NA,NA
France,3,3
France,5,3
India,9,3
India,6,3
India,4,3
United States,NA,NA
India,4,3
India,5,3
India,3,3
Germany,0,3
Brazil,6,3
Germany,8,3
United States,NA,3
United States,0,3
United States,NA,NA
United Kingdom,6,3
India,1,3
Germany,6,3
Germany,3,3
Germany,5,3
India,4,3
Germany,5,3
Germany,5,3
Italy,NA,NA
United States,NA,NA
Germany,4,3
Germany,3,3
France,3,3
Netherlands,NA,3
United Kingdom,3,3
Canada,NA,NA
Canada,6,3
United Kingdom,NA,3
India,3,3
United Kingdom,NA,NA
India,3,3
India,1,3
India,3,3
Italy,3,3
India,3,3
India,5,3
United Kingdom,3,3
Canada,NA,NA
Germany,3,3
United States,NA,NA
Italy,3,3
United Kingdom,7,3
Germany,1,3
United Kingdom,NA,3
United Kingdom,8,3
Germany,NA,3
France,2,3
United States,3,3
Italy,3,3
Germany,7,3
Brazil,5,3
United States,3,3
India,5,3
France,8,3
United States,NA,NA
India,4,3
India,3,3
United Kingdom,NA,3
United Kingdom,3,3
France,8,3
India,5,3
Germany,4,3
Germany,5,3
United Kingdom,3,3
Belgium,NA,3
United States,4,3
United States,5,3
United States,NA,NA
Germany,NA,3
India,2,3
India,NA,3
Italy,1,3
Germany,NA,3
Bulgaria,3,3
France,3,3
United States,NA,NA
United States,2,3
United States,NA,NA
United States,NA,NA
United States,NA,NA
United States,3,3
United Kingdom,6,3
India,4,3
India,3,3
Germany,3,3
Germany,6,3
India,9,3
Germany,NA,NA
France,3,3
Belgium,1,3
Germany,3,3
India,3,3
India,3,3
United Kingdom,3,3
India,3,3
India,NA,3
United States,6,3
India,NA,3
United States,1,3
Germany,6,3
United States,NA,3
India,4,3
India,3,3
Germany,NA,3
Germany,6,3
Germany,4,3
United States,7,3
United States,1,3
Canada,6,3
India,4,3
India,3,3
Canada,NA,3
India,1,3
Canada,5,3
United Kingdom,3,3
Germany,NA,NA
United Kingdom,6,3
United States,3,3
Germany,5,3
Italy,4,3
United Kingdom,2,3
Germany,3,3
China,NA,NA
Germany,NA,NA
United Kingdom,5,3
Germany,3,3
India,NA,3
Brazil,3,3
France,8,3
United States,8,3
Germany,6,3
United States,5,3
United States,3,3
India,0,3
India,3,3
India,2,3
France,2,3
Canada,NA,NA
India,3,3
India,3,3
China,NA,3
Germany,8,3
India,3,3
India,4,3
France,3,3
France,2,3
Germany,NA,NA
France,3,3
United Kingdom,2,3
India,3,3
India,3,3
United Kingdom,7,3
United States,0,3
India,8,3
India,3,3
India,2,3
India,4,3
India,3,3
United States,NA,NA
India,3,3
India,3,3
India,3,3
Germany,5,3
India,6,3
India,3,3
India,1,3
India,2,3
India,3,3
United Kingdom,3,3
India,2,3
India,3,3
Germany,3,3
United Kingdom,7,3
India,2,3
United Kingdom,NA,3
Germany,6,3
Italy,3,3
Canada,8,3
United States,8,3
United Kingdom,3,3
United States,NA,3
United States,NA,3
Canada,0,3
India,3,3
India,3,3
France,3,3
Germany,5,3
India,1,3
France,5,3
India,1,3
Australia,2,3
United Kingdom,3,3
India,3,3
Germany,5,3
Germany,2,3
United Kingdom,2,3
United Kingdom,5,3
United Kingdom,6,3
Italy,NA,3
United States,2,3
Germany,0,3
United States,2,3
France,3,3
Netherlands,NA,3
United States,5,3
Germany,8,3
Germany,NA,NA
United States,1,3
United States,1,3
India,NA,3
United Kingdom,1,3
Germany,3,3
Germany,10,3
France,3,3
China,9,3
India,NA,3
Canada,2,3
India,3,3
Canada,NA,3
India,3,3
Germany,3,3
India,0,3
United States,NA,NA
India,2,3
Germany,5,3
France,6,3
United States,NA,NA
India,NA,3
India,3,3
Australia,NA,NA
India,4,3
India,4,3
India,3,3
Germany,0,3
India,NA,3
United Kingdom,NA,3
United States,3,3
Belgium,NA,NA
India,NA,3
India,NA,3
United States,NA,NA
Australia,3,3
India,2,3
India,3,3
India,NA,3
India,2,3
India,3,3
United Kingdom,1,3
India,NA,3
United States,NA,NA
United Kingdom,3,3
United Kingdom,NA,NA
Germany,2,3
Germany,4,3
Germany,3,3
United States,4,3
United States,NA,3
United States,3,3
United States,5,3
India,3,3
United States,NA,NA
United Kingdom,7,3
Germany,8,3
Germany,5,3
United States,4,3
United States,3,3
United States,NA,NA
United States,NA,3
United States,1,3
Germany,3,3
China,3,3
India,2,3
India,NA,3
Germany,5,3
Canada,NA,3
India,4,3
Netherlands,NA,NA
United States,1,3
United States,0,3
United Kingdom,NA,3
France,1,3
India,NA,3
Canada,NA,3
United States,NA,NA
France,2,3
India,NA,3
India,5,3
Italy,2,3
United States,6,3
India,2,3
United Kingdom,NA,NA
India,5,3
United States,10,3
Canada,NA,NA
Germany,6,3
Bangladesh,5,3
France,8,3
Germany,0,3
Germany,NA,NA
India,5,3
United States,6,3
Australia,NA,3
United States,1,3
France,NA,3
Australia,1,3
India,3,3
India,1,3
India,NA,3
Italy,5,3
United States,2,3
Germany,5,3
United States,NA,NA
United States,NA,NA
Australia,NA,NA
Netherlands,NA,3
United States,2,3
India,5,3
India,3,3
United Kingdom,3,3
Germany,4,3
United States,2,3
France,2,3
France,2,3
India,4,3
United Kingdom,1,3
United States,NA,3
United States,NA,NA
United Kingdom,NA,NA
India,4,3
United Kingdom,3,3
United Kingdom,0,3
Belgium,0,3
Bangladesh,5,3
Canada,3,3
United States,6,3
Australia,NA,NA
Germany,2,3
United Kingdom,5,3
France,3,3
France,NA,NA
United States,NA,3
United States,NA,NA
United States,6,3
Netherlands,NA,NA
United States,4,3
United States,NA,NA
India,5,3
United States,NA,NA
United States,7,3
Germany,9,3
United States,NA,NA
United States,3,3
Germany,NA,3
India,0,3
India,4,3
United States,9,3
United States,NA,3
United States,8,3
India,2,3
Germany,1,3
United States,NA,NA
Canada,NA,NA
Germany,8,3
United States,NA,NA
United Kingdom,NA,NA
France,0,3
United States,NA,NA
United Kingdom,NA,NA
United States,NA,NA
Canada,0,3
United States,3,3
India,3,3
France,3,3
India,4,3
India,3,3
United States,NA,NA
United States,6,3
United States,1,3
Germany,3,3
United States,NA,NA
United States,3,3
United Kingdom,NA,3
Germany,5,3
United States,6,3
United Kingdom,NA,3
United States,3,3
France,4,3
United States,NA,NA
India,3,3
India,2,3
United States,6,3
United States,7,3
United States,NA,NA
India,3,3
Bulgaria,1,3
China,5,3
United States,NA,3
India,3,3
Italy,2,3
United States,3,3
Canada,5,3
Belgium,6,3
United Kingdom,4,3
France,9,3
Brazil,2,3
India,2,3
Canada,NA,NA
India,6,3
United States,NA,3
United States,10,3
France,4,3
Australia,5,3
United States,5,3
United States,NA,NA
Germany,NA,3
India,3,3
France,NA,3
Brazil,5,3
United States,NA,3
United States,NA,NA
United States,NA,3
United States,NA,NA
United States,0,3
India,NA,NA
United States,0,3
Canada,5,3
United States,0,3
Germany,NA,3
United States,2,3
India,3,3
France,0,3
India,2,3
United Kingdom,1,3
United States,NA,NA
United States,NA,NA
Canada,NA,NA
United States,0,3
India,3,3
United Kingdom,6,3
Italy,3,3
United States,2,3
United States,NA,NA
Netherlands,NA,NA
United Kingdom,2,3
India,5,3
Italy,4,4
Brazil,NA,NA
Australia,NA,NA
Germany,NA,4
United Kingdom,4,4
United States,6,4
United States,1,4
Canada,6,4
India,5,4
India,8,4
Germany,NA,4
India,4,4
United Kingdom,3,4
United States,3,4
United Kingdom,6,4
Brazil,NA,4
United States,5,4
Canada,NA,NA
Brazil,4,4
Germany,3,4
United States,4,4
United States,4,4
United States,NA,NA
United States,1,4
United Kingdom,3,4
Germany,7,4
United States,2,4
Brazil,6,4
United Kingdom,3,4
Canada,4,4
United States,3,4
United States,4,4
United States,2,4
India,5,4
Australia,NA,NA
United States,NA,NA
United States,2,4
Netherlands,NA,4
United Kingdom,4,4
France,NA,NA
United States,4,4
Netherlands,4,4
United States,3,4
United States,NA,NA
United States,5,4
Germany,6,4
United States,4,4
Australia,2,4
Canada,NA,NA
Germany,5,4
United Kingdom,6,4
Italy,4,4
United States,4,4
United States,4,4
Australia,4,4
United Kingdom,4,4
Canada,2,4
United States,3,4
Canada,5,4
Canada,2,4
Canada,5,4
United States,NA,NA
United States,2,4
United States,6,4
China,2,4
United States,2,4
Brazil,3,4
India,5,4
Canada,3,4
India,2,4
United States,NA,4
United States,NA,4
Canada,NA,NA
United States,7,4
India,2,4
India,4,4
Germany,8,4
India,0,4
China,4,4
France,9,4
India,4,4
United States,NA,NA
United States,1,4
India,NA,NA
Australia,NA,NA
India,3,4
Germany,3,4
Germany,6,4
Italy,5,4
Australia,6,4
Netherlands,NA,NA
Germany,4,4
United Kingdom,NA,NA
India,3,4
Italy,5,4
United Kingdom,7,4
Germany,4,4
United Kingdom,NA,4
Netherlands,4,4
United Kingdom,NA,NA
United States,NA,NA
Germany,6,4
United Kingdom,6,4
India,4,4
United Kingdom,3,4
India,0,4
Bulgaria,2,4
Germany,5,4
Canada,NA,NA
Germany,6,4
China,NA,4
India,4,4
United Kingdom,4,4
United States,4,4
India,4,4
United States,7,4
United Kingdom,5,4
United Kingdom,5,4
United States,6,4
Canada,NA,NA
France,7,4
Belgium,5,4
United States,9,4
United States,4,4
Germany,6,4
United States,6,4
Brazil,4,4
Canada,4,4
United States,NA,NA
United States,NA,4
United States,4,4
United States,2,4
Netherlands,NA,NA
United States,4,4
United States,4,4
United States,4,4
Australia,NA,NA
United States,4,4
Italy,NA,4
Canada,NA,NA
United States,3,4
Australia,6,4
India,NA,NA
United States,NA,NA
United States,NA,NA
India,NA,4
India,NA,4
United Kingdom,9,4
India,4,4
India,4,4
United States,NA,NA
United States,NA,NA
France,NA,4
United States,NA,NA
Germany,NA,4
India,5,4
Germany,5,4
Germany,7,4
India,4,4
United States,NA,NA
Brazil,6,4
France,NA,4
India,NA,NA
India,4,4
Canada,NA,4
Germany,NA,4
Belgium,6,4
United States,5,4
United States,7,4
United States,3,4
India,NA,4
United States,NA,NA
United States,NA,4
Canada,NA,NA
United Kingdom,1,4
United States,NA,NA
Australia,NA,4
United States,NA,4
Italy,6,4
United States,NA,4
United States,NA,4
United States,5,4
United States,3,4
Australia,4,4
India,5,4
United States,NA,NA
India,6,4
United Kingdom,9,4
India,7,4
Australia,3,4
India,4,4
United Kingdom,NA,4
Germany,7,4
United States,NA,NA
India,NA,4
India,2,4
United States,NA,NA
United States,NA,NA
United States,NA,NA
Australia,7,4
India,4,4
United States,10,4
Brazil,3,4
Germany,4,4
United States,4,4
India,4,4
United States,NA,NA
United States,5,4
Germany,8,4
United States,NA,NA
United States,NA,NA
India,NA,NA
United States,NA,NA
United States,NA,NA
India,5,4
India,3,4
United States,NA,NA
India,3,4
China,2,4
Germany,3,4
United States,NA,NA
Australia,10,NA
India,NA,NA
India,6,4
Germany,1,4
United Kingdom,5,4
United States,NA,NA
India,4,4
Brazil,9,4
Bangladesh,5,4
Germany,4,4
Germany,NA,NA
United Kingdom,5,4
United States,8,4
Germany,2,4
Bulgaria,4,4
India,5,4
United States,5,4
Italy,4,4
United States,4,4
India,4,4
United States,4,4
India,6,4
India,2,4
